year,deforestation_ha,reforestation_ha,forest_stock_ha,net_change_ha,net_loss_rate_ha
2024,0.005673467708299798,264074.9447361759,6200000.0,264074.9390627082,-264074.9390627082
2025,0.0056397461075845005,250362.18472730208,6571759.149589024,250362.17908755597,-250362.17908755597
2026,0.005351623550801054,151499.052323741,6923403.926575993,151499.04697211744,-151499.04697211744
2027,0.005499364049708633,135338.62562534874,7168791.475505711,135338.6201259847,-135338.6201259847
2028,0.0061353384478435675,136970.44121242416,7392087.715621279,136970.4350770857,-136970.4350770857
2029,0.0069950449611925515,107306.22103576556,7611068.005977118,107306.2140407206,-107306.2140407206
2030,0.006417077083378303,51699.59883535614,7794041.535097703,51699.592418279055,-51699.592418279055
2031,0.006256747812882953,119858.40459186782,7915721.712424404,119858.39833512,-119858.39833512
2032,0.006461738235619145,93849.1286351177,8101583.826756812,93849.12217337947,-93849.12217337947
2033,0.005295076514247025,79664.96454016531,8255061.295520834,79664.9592450888,-79664.9592450888
2034,0.005669320723810623,98568.90488738,8388815.966948248,98568.89921805928,-98568.89921805928
2035,0.007121822933259458,38428.761089483196,8536445.489106743,38428.75396766026,-38428.75396766026
2036,0.007047326299220274,28238.980574157955,8618165.456537683,28238.973526831654,-28238.973526831654
2037,0.006725193958070066,3449.156161827365,8686403.356384771,3449.149436633407,-3449.149436633407
2038,0.008353486201984476,2017.7147776398442,8727048.445904788,2017.7064241536423,-2017.7064241536423
2039,0.008667539298697345,0.38574292060621335,8764569.234744342,0.377075381307516,-0.377075381307516
2040,0.00636195591743341,1.0997840176204217,8798494.52686943,1.0934220617029882,-1.0934220617029882
2041,0.006034836613074624,5552.778673074782,8830980.84169101,5552.772638238169,-5552.772638238169
2042,0.005549576695707016,6205.718853540433,8867628.853117412,6205.713303963737,-6205.713303963737
2043,0.004932674793379487,1529.7408514324832,8903348.422358086,1529.73591875769,-1529.73591875769
2044,0.004143972061206348,3359.7988127125122,8932837.089237345,3359.794668740451,-3359.794668740451
2045,0.0039522008628241284,4768.377394821968,8962862.009616088,4768.373442621105,-4768.373442621105
2046,0.0030018976123420077,1950.0784497581064,8992968.770889938,1950.075447860494,-1950.075447860494
2047,0.004419071158754742,190.94812969083642,9018917.351649653,190.94371061967766,-190.94371061967766
2048,0.0053166365697929294,205.0669073794097,9041944.319806507,205.0615907428399,-205.0615907428399
2049,0.004437606356778094,1052.4527532072,9063947.875900831,1052.4483156008432,-1052.4483156008432
2050,0.005349559297122112,15046.899151747519,9085802.185921751,15046.893802188222,-15046.893802188222
2051,0.0040271989382550935,41278.53351760658,9120656.023958445,41278.52949040764,-41278.52949040764
2052,0.007739299986743345,4158.613214910354,9180144.374081671,4158.605475610368,-4158.605475610368
2053,0.00792787317761917,4630.9744732637855,9199757.299687767,4630.966545390608,-4630.966545390608
2054,0.006606106666235333,8.617281749606493,9218925.950306186,8.610675642940258,-8.610675642940258
