region,total_loss_ha,pct_loss,total_emissions_Mg,emissions_per_ha,area_km2,loss_percentile,loss_category
Western North,164452.3634502933,16.959624197027324,96323018.7324566,585.7198808916528,10261.320127684778,75.0,Moderate Loss
Ahafo,90107.41543165354,21.135072319201374,48379201.36077234,536.905882041062,5042.8615105555455,62.5,High Loss
Bono East,13882.25010044095,13.304208543279064,4945156.521449789,356.2215408648137,23157.657103500325,43.75,Moderate Loss
Savannah,1302.5984678379118,34.227754155115846,499987.1612768411,383.8382844920226,35065.95157731627,31.25,Very High Loss
North East,54.88959420884548,78.63313330818563,19718.5788525886,359.2407474823514,9250.739409850497,12.5,Very High Loss
Oti,33014.853798074444,11.674436221563402,18434183.372843336,558.3602909645019,11054.772725905863,56.25,Moderate Loss
Western,431528.6263854121,31.993146835642587,247498237.2471602,573.5383984146432,13844.912653977193,100.0,Very High Loss
Eastern,245521.9588720474,25.195738159988583,152090301.34148628,619.4570214420105,18702.823845696552,87.5,High Loss
Northern,307.46820727195046,75.39441659234691,115979.44848003029,377.2079380469032,24544.102229643624,25.0,Very High Loss
Central,227195.5628613038,30.268737336149552,121531777.59070835,534.9214397505638,10015.976509976277,81.25,Very High Loss
Ashanti,410919.1165092371,27.06221150591822,244335863.6858068,594.6081695138522,24549.656688622614,93.75,High Loss
Bono,104286.9833280238,25.088908139968108,56866021.50937396,545.2839817075526,11639.092139812185,68.75,High Loss
Volta,26287.709048336663,15.865764154143022,15548398.691054646,591.4702822701265,10361.576817745516,50.0,Moderate Loss
Upper West,61.21973151103679,96.76389268450146,42039.59682706218,686.7001175835477,19472.69240654635,18.75,Very High Loss
Upper East,7.489177991040582,75.0045947092957,8637.251773129494,1153.2977028269818,8684.625909984574,6.25,Very High Loss
Greater Accra,3109.441259137965,40.24159495652874,1159608.073792852,372.9313330441662,3209.624624031195,37.5,Very High Loss
