Region,Total Loss (ha),Avg Annual Loss (ha),Peak Year,Peak Loss (ha)
Western,431528.6263854121,17980.359432725505,2018,39517.67125489648
Ashanti,410919.1165092371,17121.629854551546,2020,36115.507153382896
Eastern,245521.95887204737,10230.081619668641,2017,24557.689609962858
Central,227195.56286130383,9466.48178588766,2018,23908.331315113486
Western North,164452.3634502933,6852.181810428888,2022,15663.213405311819
Bono,104286.98332802378,4345.290972000991,2017,12246.882174568267
Ahafo,90107.41543165354,3754.4756429855643,2018,10089.069647348471
Oti,33014.853798074444,1375.6189082531018,2017,4175.6771322103195
Volta,26287.709048336663,1095.3212103473609,2024,3140.9429732033345
Bono East,13882.25010044095,578.4270875183729,2001,1512.347993248382
Greater Accra,3109.441259137965,129.56005246408188,2016,297.5978494630385
Savannah,1302.5984678379118,54.27493615991299,2001,240.60042142817971
Northern,307.46820727195046,12.811175302997936,2001,130.7784221118132
Upper West,61.219731511036784,2.9152253100493706,2001,14.393360153655058
North East,54.88959420884548,3.0494219004914154,2001,14.160227594254009
Upper East,7.489177991040582,0.4405398818259166,2007,3.2531226898969186
