region,slope,intercept,r_squared,p_value,trend
Ahafo,334.24088064693,-668905.2966589611,0.5786297783202786,1.597823167853396e-05,Increasing
Ashanti,1290.203662252011,-2579413.2404276207,0.6364155818381314,3.025201429552289e-06,Increasing
Bono,350.06503744247755,-700160.5968809851,0.4968757299878191,0.00012002729532926437,Increasing
Bono East,-11.487650163577245,23697.323041717576,0.053051758219246986,0.2789038726221131,No significant trend
Central,400.4480812588147,-796435.2817474769,0.27939254784929923,0.0079217923136177,Increasing
Eastern,813.6641877787542,-1627269.0962850743,0.6282469042275153,3.884793171392551e-06,Increasing
Greater Accra,3.068747414889909,-6046.29412000186,0.13250435744863195,0.08035142836215622,No significant trend
North East,-0.33645569196282793,679.7178943863989,0.31460718395311543,0.015451105083039377,Decreasing
Northern,-2.203354368801788,4447.061842516596,0.31670926888371204,0.004197857624737997,Decreasing
Oti,136.88468683871156,-274104.81335465395,0.6182483626967287,5.238674758097653e-06,Increasing
Savannah,-7.162797059283674,14469.404017968307,0.5258041203956776,6.106753849245105e-05,Decreasing
Upper East,-0.05930704347607177,119.80468650146095,0.27323554185233384,0.03133186377921077,Decreasing
Upper West,-0.34938776876027977,705.8002284917417,0.3525475247458477,0.0045430716384247906,Decreasing
Volta,125.11833975976649,-250705.3375561827,0.7480050120401988,4.991618529294767e-08,Increasing
Western,692.3681860525281,-1375410.6149979874,0.2546781249265062,0.011904823444305542,Increasing
Western North,483.96155154772293,-967120.4406793636,0.605158558320077,7.662328695683448e-06,Increasing
